# name|mystic level|technomancer level|show DC|show ranged attack mod|show melee attack mod
unseen servant|-|1|false|false|false
veil|-|6|true|false|false
vision|6|-|false|false|false
wall of fire|-|4|false|false|false
wall of force|-|5|false|false|false
wall of steel|-|6|false|false|false
waves of fatigue|5|-|false|false|false
wish|-|7|false|false|false
wisp ally|1|-|false|false|false
zone of truth|2|-|true|false|false
summon creature 1|1|1|false|false|false
summon creature 2|2|2|false|false|false
summon creature 3|3|3|false|false|false
summon creature 4|4|4|false|false|false
summon creature 5|5|5|false|false|false
summon creature 6|6|6|false|false|false
carnivorous|1|-|false|false|false
viral destruction|3|-|true|false|false
control atmosphere|4|-|true|false|false
digital doorway|-|4|false|false|false
directed denial of strength attack|-|2|true|false|false
fabricate scrap|-|0|false|false|false
junk armor|-|1|false|false|false
junksword|-|1|false|false|false
mental block|3|3|true|false|false
might of the ellicoth|1|-|false|false|false
necromantic revitalization 1|1|1|false|false|false
necromantic revitalization 2|2|2|false|false|false
necromantic revitalization 3|3|3|false|false|false
necromantic revitalization 4|4|4|false|false|false
necromantic revitalization 5|5|5|false|false|false
necromantic revitalization 6|6|6|false|false|false
reanimate|5|6|false|false|false
seeking shot|1|-|false|false|false
EOF
