# name|mystic level|technomancer level|show DC|show ranged attack mod|show melee attack mod
Synapse Overload|-|5|true|false|true
Synaptic Pulse|3|-|true|false|false
Greater Synaptic Pulse|5|-|true|false|false
Telekinesis|-|5|false|true|false
Telekinetic Projectile|0|-|false|true|false
Telepathic Bond|4|-|false|false|false
Telepathic Jaunt|6|-|false|false|false
Telepathic Message|0|0|false|false|false
Telepathy|5|-|false|false|false
Teleport|-|5|false|false|false
Terraform|-|6|false|false|false
Token Spell|0|0|false|false|false
Tongues|3|3|false|false|false
Transfer Charge|-|0|false|false|false
True Seeing|6|6|false|false|false
Unwilling Guardian|-|5|true|false|false
Unseen Servant|-|1|false|false|false
Veil|-|6|true|false|false
Vision|6|-|false|false|false
Wall of Fire|-|4|false|false|false
Wall of Force|-|5|false|false|false
Wall of Steel|-|6|false|false|false
Waves of Fatigue|5|-|false|false|false
Wish|-|7|false|false|false
Wisp Ally|1|-|false|false|false
Zone of Truth|2|-|true|false|false
Summon Creature|1|1|false|false|false
Summon Creature|2|2|false|false|false
Summon Creature|3|3|false|false|false
Summon Creature|4|4|false|false|false
Summon Creature|5|5|false|false|false
Summon Creature|6|6|false|false|false
Carnivorous|1|-|false|false|false
Viral Destruction|3|-|true|false|false
Control Atmosphere|4|-|true|false|false
Digital Doorway|-|4|false|false|false
Directed Denial of Strength Attack|-|2|true|false|false
Fabricate Scrap|-|0|false|false|false
Junk Armor|-|1|false|false|false
Junksword|-|1|false|false|false
Mental Block|3|3|true|false|false
Might of the Ellicoth|1|-|false|false|false
Necromantic Revitalization|1|1|false|false|false
Necromantic Revitalization|2|2|false|false|false
Necromantic Revitalization|3|3|false|false|false
Necromantic Revitalization|4|4|false|false|false
Necromantic Revitalization|5|5|false|false|false
Necromantic Revitalization|6|6|false|false|false
Reanimate|5|6|false|false|false
Seeking Shot|1|-|false|false|false
EOF
